https://open.spotify.com/track/1ZPMLCzCwIvLbMFWvYiw4H,See U Later,BLACKPINK,SQUARE UP,198866
https://open.spotify.com/track/7uvW1F97LfVbOF6bzHs3nO,Deja Vu,DREAMCATCHER,Raid of Dream,224760
https://open.spotify.com/track/49euWwcjQTzVCynY53tvH5,Spark,TAEYEON,Purpose - The 2nd Album,217926
https://open.spotify.com/track/7w3pIUjz7BTTqj9uAws40m,So What,LOONA,[#],198040
https://open.spotify.com/track/6vHyPhg8fgclBiY8QN68wp,PIRI,DREAMCATCHER,The End of Nightmare,206819
https://open.spotify.com/track/1e7eOq89QU6vGYCJp9yW2L,Sunrise,GFRIEND,GFRIEND The 2nd Album 'Time for us',216488
https://open.spotify.com/track/2qwyjoSsSr3M7HTt611Q5O,Wind flower,Mamamoo,BLUE;S,236816
https://open.spotify.com/track/1PNb8pRsZGa8XN1m5nJe70,Dumb,BVNDIT,BE!,190903
https://open.spotify.com/track/71vPAjlG1x606483GTJNhY,FIESTA,IZ*ONE,BLOOM*IZ,217760
https://open.spotify.com/track/0yB1yBOhM518Qz6dqSdNtU,Good Luck,Mamamoo,"Queendom < Cover Contest >, Pt. 1",242133
https://open.spotify.com/track/1sS61BTtpJxiw8VARNrD7n,YOU AND I,DREAMCATCHER,Nightmare - Escape The ERA,195015
https://open.spotify.com/track/0RqzUS7AkBhQDrBxcGFeDv,Hi High,LOONA,[+ +],196863
https://open.spotify.com/track/2v48U4qJmWebDyR7XYuRza,Checkmate,OH MY GIRL,THE FIFTH SEASON,194973
https://open.spotify.com/track/3vPHCKu5UhbGLe9rs8dBGr,Scream,DREAMCATCHER,1st Album [Dystopia : The Tree of Language],204293
https://open.spotify.com/track/5lwWpQ71GKN3sWmk8zZr9g,Red Sun,DREAMCATCHER,1st Album [Dystopia : The Tree of Language],185093
https://open.spotify.com/track/4dIZBPtKfOvo8YuundgcwH,Jazz Bar,DREAMCATCHER,1st Album [Dystopia : The Tree of Language],214586
https://open.spotify.com/track/1aJ1TqB6m79xJkjlbLGXKe,SAHARA,DREAMCATCHER,1st Album [Dystopia : The Tree of Language],190946
https://open.spotify.com/track/0dGhRWXSyJynaufQcsnamE,In The Frozen,DREAMCATCHER,1st Album [Dystopia : The Tree of Language],196053
https://open.spotify.com/track/1OBb2wZMXKNmtdyyejLIyL,Uh-Oh,(G)I-DLE,Uh-Oh,207600
https://open.spotify.com/track/0q6boCcLaWYPIy2vOsksFg,Senorita,(G)I-DLE,I made,197616
https://open.spotify.com/track/2ezKXygNO30pXyDQXkm6oD,LATATA,(G)I-DLE,I am,202772
https://open.spotify.com/track/5WitNasXEIRptoLIQUcXMx,Decalcomanie,Mamamoo,MEMORY,215997
https://open.spotify.com/track/07H4GUtSu2IWIgrpC99zJf,Eclipse,Moon Byul,Dark Side of the Moon,208853
https://open.spotify.com/track/3BPoSr2pO34Aan6alFfVto,BBoom BBoom,MOMOLAND,GREAT!,208863
https://open.spotify.com/track/6wV0zmb3delVInoCiWdEdZ,Chica,CHUNG HA,Flourishing,192484
https://open.spotify.com/track/5gA9Xn8oPts2aewPgxVkPD,Heroine,SUNMI,Heroine,195000
https://open.spotify.com/track/6WtBCTeMrTC9oKQ8dgSWcM,Silent Night,DREAMCATCHER,Raid of Dream,198066
https://open.spotify.com/track/4D5Ode2OfZMxIwQyvmhUe8,Lil’ Touch,Girls' Generation-Oh!GG,Lil' Touch - The 1st Single,189846
https://open.spotify.com/track/4fAUUc8y2ZQcwKLGHidZsa,Dramatic,BVNDIT,Dramatic,205567
https://open.spotify.com/track/6mgqTxm6s5Vu11dSNuD4S1,Hush,EVERGLOW,HUSH,164640
https://open.spotify.com/track/5qA5DAR5xTjQUGrl0eBbmR,Really,BLACKPINK,SQUARE UP,197789
https://open.spotify.com/track/3ZBcChaDht7PCXsBzdVnBB,Flourishing,CHUNG HA,Flourishing,195496
https://open.spotify.com/track/1fMXWEkJpIH483OrKn1zFV,SO HOT Remix,BLACKPINK,"BLACKPINK ARENA TOUR 2018 SPECIAL FINAL IN KYOCERA DOME OSAKA""""",144166
https://open.spotify.com/track/4x5l1gjNcoBhhWBPEMo7OQ,Love U,CHUNG HA,Blooming Blue,190920
https://open.spotify.com/track/4ytyLpIwUXbdFsNOvgNnmP,Four Seasons,TAEYEON,Four Seasons,188237
https://open.spotify.com/track/1fzLM4SRonzoHm723a2mP5,Gravity,TAEYEON,Purpose - The 2nd Album,239499
https://open.spotify.com/track/7pm5uhK7xiEM9fQvuCE78l,Heart Attack,AOA,Heart Attack,196522
https://open.spotify.com/track/4TsP3ww5zEXxuUdmkWIcqp,Love You Like Crazy,TAEYEON,Purpose - The 2nd Album,179527
https://open.spotify.com/track/14rpBBTV0qi60Ex4jonuNi,Woman,BoA,WOMAN - The 9th Album,170367
https://open.spotify.com/track/6X9DNG2WR3IclfneGurU0T,Kiss and Make Up, DUA LIPA ft. BLACKPINK,"BLACKPINK ARENA TOUR 2018 SPECIAL FINAL IN KYOCERA DOME OSAKA""""",190500
https://open.spotify.com/track/5TOHyofiuUrjwihRKx2JdO,Sorry,AOA,NEW MOON,219320
